,Date,Open,High,Low,Close,Volume
0,2008-05-06,76.8,76.8,60.8,60.8,79.0
1,2008-05-07,60.8,60.8,48.8,50.4,88.0
2,2008-05-08,48.8,48.8,48.8,48.8,1.0
3,2008-05-09,51.2,51.2,36.0,39.2,3.0
4,2008-05-13,55.2,60.0,52.0,60.0,85.0
5,2008-05-14,59.2,60.0,56.8,56.8,19.0
6,2008-05-15,54.4,55.2,54.4,55.2,4.0
7,2008-05-16,56.0,56.8,56.0,56.0,27.0
8,2008-05-19,55.2,55.2,54.4,55.2,16.0
9,2008-05-20,55.2,56.0,55.2,56.0,3.0
10,2008-05-21,56.0,56.0,56.0,56.0,6.0
11,2008-05-23,54.4,54.4,53.6,53.6,6.0
12,2008-05-26,56.0,56.0,53.6,53.6,4.0
13,2008-05-27,53.6,53.6,53.6,53.6,6.0
14,2008-05-28,52.8,52.8,52.8,52.8,4.0
15,2008-05-29,42.4,53.6,42.4,53.6,7.0
16,2008-05-30,52.8,53.6,52.8,53.6,3.0
17,2008-06-02,53.6,53.6,53.6,53.6,3.0
18,2008-06-03,53.6,53.6,53.6,53.6,4.0
19,2008-06-04,54.4,54.4,54.4,54.4,4.0
20,2008-06-05,54.4,55.2,54.4,55.2,5.0
21,2008-06-06,54.4,54.4,54.4,54.4,4.0
22,2008-06-10,54.4,54.4,54.4,54.4,13.0
23,2008-06-12,54.4,54.4,54.4,54.4,3.0
24,2008-06-13,54.4,54.4,54.4,54.4,3.0
25,2008-06-16,54.4,54.4,54.4,54.4,3.0
26,2008-06-17,54.4,54.4,54.4,54.4,3.0
27,2008-06-18,54.4,54.4,54.4,54.4,3.0
28,2008-06-19,54.4,54.4,54.4,54.4,3.0
29,2008-06-20,54.4,54.4,54.4,54.4,3.0
30,2008-06-23,54.4,54.4,54.4,54.4,4.0
31,2008-06-24,54.4,54.4,54.4,54.4,3.0
32,2008-06-25,54.4,54.4,54.4,54.4,1.0
33,2008-06-27,54.4,54.4,54.4,54.4,3.0
34,2008-07-01,54.4,54.4,54.4,54.4,3.0
35,2008-07-03,54.4,54.4,54.4,54.4,3.0
36,2008-07-07,54.4,54.4,53.6,54.4,10.0
37,2008-07-08,54.4,54.4,54.4,54.4,3.0
38,2008-07-10,54.4,54.4,54.4,54.4,2.0
39,2008-07-16,54.4,54.4,54.4,54.4,3.0
40,2008-07-17,48.0,54.4,48.0,54.4,28.0
41,2008-07-18,54.4,54.4,44.8,53.6,600.0
42,2008-07-21,44.0,51.2,44.0,51.2,116.0
43,2008-07-22,49.6,49.6,41.6,44.0,47.0
44,2008-07-23,44.0,44.8,44.0,44.8,3.0
45,2008-07-24,47.2,47.2,44.8,44.8,23.0
46,2008-07-25,43.2,43.2,43.2,43.2,3.0
47,2008-07-28,45.6,45.6,45.6,45.6,3.0
48,2008-07-29,47.2,48.0,47.2,48.0,3.0
49,2008-07-30,44.0,44.0,36.0,40.0,24.0
50,2008-07-31,37.6,44.8,37.6,44.8,10.0
51,2008-08-01,44.8,46.4,41.6,41.6,25.0
52,2008-08-05,46.4,46.4,46.4,46.4,3.0
53,2008-08-07,46.4,47.2,46.4,47.2,12.0
54,2008-08-08,44.0,46.4,44.0,46.4,5.0
55,2008-08-11,40.8,43.2,38.4,43.2,113.0
56,2008-08-12,42.4,43.2,37.6,43.2,18.0
57,2008-08-13,40.0,40.0,38.4,38.4,81.0
58,2008-08-14,40.0,40.0,38.4,40.0,14.0
59,2008-08-18,40.8,42.4,40.8,42.4,3.0
60,2008-08-20,40.0,47.2,40.0,47.2,51.0
61,2008-08-21,41.6,43.2,40.0,43.2,59.0
62,2008-08-22,40.0,44.8,40.0,44.8,43.0
63,2008-08-26,38.4,42.4,38.4,41.6,68.0
64,2008-08-27,38.4,38.4,36.0,36.0,111.0
65,2008-08-28,39.2,39.2,39.2,39.2,4.0
66,2008-09-01,36.0,36.0,36.0,36.0,50.0
67,2008-09-02,39.2,39.2,39.2,39.2,25.0
68,2008-09-03,39.2,39.2,39.2,39.2,13.0
69,2008-09-04,39.2,40.8,39.2,40.8,38.0
70,2008-09-05,39.2,39.2,35.2,35.2,92.0
71,2008-09-08,38.4,39.2,38.4,39.2,13.0
72,2008-09-10,39.2,39.2,36.8,36.8,69.0
73,2008-09-11,39.2,40.0,39.2,40.0,6.0
74,2008-09-12,40.0,40.0,40.0,40.0,13.0
75,2008-09-15,36.0,36.0,36.0,36.0,6.0
76,2008-09-18,36.8,39.2,35.2,35.2,46.0
77,2008-09-19,40.0,40.0,40.0,40.0,118.0
78,2008-09-22,40.0,40.0,40.0,40.0,15.0
79,2008-09-24,40.0,40.8,40.0,40.8,63.0
80,2008-09-26,40.0,40.8,40.0,40.8,30.0
81,2008-09-29,40.8,40.8,40.8,40.8,4.0
82,2008-09-30,36.8,36.8,35.2,35.2,125.0
83,2008-10-02,39.2,39.2,39.2,39.2,6.0
84,2008-10-03,39.2,39.2,39.2,39.2,13.0
85,2008-10-06,37.6,37.6,37.6,37.6,13.0
86,2008-10-07,38.4,38.4,38.4,38.4,13.0
87,2008-10-08,38.4,38.4,36.0,36.0,50.0
88,2008-10-09,38.4,38.4,38.4,38.4,13.0
89,2008-10-10,38.4,38.4,38.4,38.4,1.0
90,2008-10-15,37.6,37.6,37.6,37.6,13.0
91,2008-10-16,37.6,37.6,37.6,37.6,13.0
92,2008-10-17,37.6,37.6,37.6,37.6,11.0
93,2008-10-20,37.6,38.4,37.6,38.4,13.0
94,2008-10-21,38.4,38.4,38.4,38.4,13.0
95,2008-10-22,37.6,37.6,37.6,37.6,18.0
96,2008-10-23,37.6,37.6,37.6,37.6,13.0
97,2008-10-24,36.8,36.8,36.8,36.8,15.0
98,2008-10-27,36.8,37.6,36.8,37.6,14.0
99,2008-10-28,36.8,37.6,36.8,37.6,13.0
100,2008-10-29,36.8,36.8,36.8,36.8,21.0
101,2008-10-30,36.0,36.8,36.0,36.8,14.0
102,2008-10-31,36.8,36.8,36.8,36.8,38.0
103,2008-11-03,36.0,36.8,35.2,36.8,39.0
104,2008-11-04,36.0,36.8,36.0,36.8,21.0
105,2008-11-05,36.8,36.8,36.8,36.8,13.0
106,2008-11-10,36.8,36.8,36.8,36.8,8.0
107,2008-11-14,36.8,36.8,36.8,36.8,12.0
108,2008-11-17,36.8,36.8,36.8,36.8,28.0
109,2008-11-18,36.8,36.8,36.8,36.8,11.0
