,Date,Open,High,Low,Close,Volume
0,2011-07-06,121.05,121.39,117.0,117.17,8471186
1,2011-07-07,117.17,120.87,117.17,120.36,3224540
2,2011-07-08,120.78,122.94,119.75,121.47,1276091
3,2011-07-11,120.87,122.25,118.11,118.89,513010
4,2011-07-12,118.03,120.1,117.17,119.66,965478
5,2011-07-13,119.24,121.82,119.24,121.73,926749
6,2011-07-14,120.87,121.47,119.84,121.47,284375
7,2011-07-15,120.78,122.08,120.61,121.91,523009
8,2011-07-18,121.47,121.91,118.89,120.61,604859
9,2011-07-19,120.78,122.16,120.44,120.61,4135440
10,2011-07-20,120.19,120.61,117.6,118.46,396119
11,2011-07-21,118.63,118.89,117.34,118.03,362573
12,2011-07-22,118.63,118.63,117.51,117.6,190955
13,2011-07-25,117.6,117.6,117.17,117.17,899264
14,2011-07-26,117.17,117.69,117.17,117.34,2284135
15,2011-07-27,117.17,117.25,115.1,115.96,3601757
16,2011-07-28,114.67,116.74,114.24,116.74,202220
17,2011-07-29,115.61,117.77,115.61,117.6,452726
18,2011-08-01,117.25,118.55,117.25,118.03,496578
19,2011-08-02,117.6,117.6,115.27,115.78,154532
20,2011-08-03,113.38,114.92,106.05,108.55,550199
21,2011-08-04,108.13,109.33,98.044,101.57,801396
22,2011-08-05,93.044,99.94,93.044,97.779,724267
23,2011-08-08,95.194,96.832,87.444,87.789,507227
24,2011-08-09,87.013,90.115,76.675,81.242,1122453
25,2011-08-10,86.152,88.133,73.66,74.091,602026
26,2011-08-11,77.45,86.152,74.091,86.152,947690
27,2011-08-12,89.253,93.044,87.013,90.459,489109
28,2011-08-16,92.958,92.958,89.598,91.408,263302
29,2011-08-17,91.234,92.097,89.77,92.097,186291
30,2011-08-18,90.804,90.804,80.121,82.965,398231
31,2011-08-19,80.207,87.961,78.398,86.109,455113
32,2011-08-22,85.807,88.822,83.998,86.669,217542
33,2011-08-23,88.392,90.459,87.703,90.459,276541
34,2011-08-24,91.408,91.752,89.167,90.115,140805
35,2011-08-25,91.234,92.011,90.115,91.752,95906
36,2011-08-26,90.89,91.234,88.306,90.459,68335
37,2011-08-29,91.321,94.078,91.148,93.561,103343
38,2011-08-30,94.768,97.608,93.906,95.63,235716
39,2011-08-31,91.752,94.418,90.028,93.044,733093
40,2011-09-01,92.786,92.786,87.961,89.339,181562
41,2011-09-02,88.306,88.736,83.74,85.98,264736
42,2011-09-05,82.663,83.998,80.121,80.121,177187
43,2011-09-06,80.94,83.568,77.967,80.121,242283
44,2011-09-07,82.62,84.946,81.845,84.946,191490
45,2011-09-08,86.066,88.822,85.721,88.306,237346
46,2011-09-09,86.669,88.306,85.204,86.152,238146
47,2011-09-12,83.74,84.816,81.845,82.749,200405
48,2011-09-13,85.291,85.635,81.112,83.137,149259
49,2011-09-14,84.257,85.291,82.49,85.291,296753
50,2011-09-15,86.152,87.444,85.377,86.152,339672
51,2011-09-16,87.013,89.598,86.324,89.598,1392165
52,2011-09-19,86.324,87.875,86.152,87.789,202967
53,2011-09-20,88.306,89.598,86.669,88.306,156608
54,2011-09-21,88.219,88.65,85.765,86.583,131924
55,2011-09-22,83.998,84.257,77.537,77.537,530408
56,2011-09-23,76.589,80.121,72.368,76.675,667789
57,2011-09-26,74.522,79.259,73.66,76.46,370754
58,2011-09-27,79.346,79.69,77.537,77.537,167982
59,2011-09-28,77.537,78.829,75.211,76.675,264899
60,2011-09-29,75.943,77.322,74.995,75.383,544800
61,2011-09-30,75.685,75.685,72.799,73.229,229988
62,2011-10-03,72.368,73.617,70.171,71.851,192995
63,2011-10-04,70.731,71.076,67.414,70.042,379924
64,2011-10-05,71.506,72.799,71.118,72.368,329926
