,Date,Open,High,Low,Close,Volume
0,2010-04-15,6.1182,6.1182,5.317,5.317,107488
1,2010-04-16,5.5356,5.5356,5.0986,5.0986,98549
2,2010-04-19,5.0986,5.0986,4.8436,4.8871,7857
3,2010-04-20,4.9892,5.1641,4.9892,5.0257,3222
4,2010-04-21,5.0257,5.0694,5.0257,5.0694,2595
5,2010-04-22,5.0257,5.0257,4.9237,5.0184,2540
6,2010-04-23,4.9892,5.0986,4.931,5.0986,12081
7,2010-04-26,5.0547,5.0547,5.0547,5.0547,501
8,2010-04-27,4.9892,4.9892,4.5521,4.8509,55785
9,2010-04-28,4.8509,4.88,4.6688,4.88,2789
10,2010-04-29,4.9748,5.0911,4.9019,4.9892,2148
11,2010-04-30,5.062,5.2368,4.9237,5.062,14538
12,2010-05-04,5.0986,5.0986,5.0986,5.0986,2
13,2010-05-05,4.7709,5.0986,4.7488,5.0547,970
14,2010-05-06,4.7488,5.0257,4.7488,5.0257,1366
15,2010-05-07,4.7342,4.8436,4.6615,4.8436,2094
16,2010-05-10,4.8727,4.8727,4.676,4.676,569
17,2010-05-11,4.9164,4.9164,4.4431,4.6979,37564
18,2010-05-12,4.727,4.727,4.516,4.6543,8564
19,2010-05-13,4.6979,4.727,4.5521,4.6179,5441
20,2010-05-14,4.9675,4.9675,4.6543,4.7342,11053
21,2010-05-17,4.6615,4.7998,4.5887,4.6979,4532
22,2010-05-18,4.7053,4.7053,4.6615,4.6615,436
23,2010-05-19,4.6032,4.7126,4.37,4.5667,9224
24,2010-05-20,4.3774,4.545,4.2973,4.4431,2516
25,2010-05-21,4.3774,4.5521,4.3774,4.5521,719
26,2010-05-24,4.545,4.5521,4.545,4.5521,205
27,2010-05-25,4.516,4.516,4.37,4.37,550
28,2010-05-26,4.2245,4.5741,4.2245,4.5741,2982
29,2010-05-27,4.5741,4.5741,4.5741,4.5741,412
30,2010-05-28,4.4431,4.7709,4.4431,4.7709,12988
31,2010-05-31,4.5887,4.5887,4.4431,4.516,2701
32,2010-06-01,4.6543,4.6543,4.5887,4.5887,195
33,2010-06-02,4.37,4.5086,4.37,4.4066,11250
34,2010-06-04,4.4066,4.4066,4.2973,4.3921,8955
35,2010-06-07,4.239,4.4431,4.239,4.4431,4413
36,2010-06-08,4.4431,4.4431,4.37,4.3774,2130
37,2010-06-09,4.4721,4.4721,4.4721,4.4721,2
38,2010-06-10,4.4721,4.5741,4.3847,4.5521,41456
39,2010-06-11,4.7126,4.8509,4.5959,4.7635,30152
40,2010-06-14,4.7635,4.7635,4.676,4.7197,6068
41,2010-06-15,4.7197,4.7197,4.6032,4.6615,11332
42,2010-06-16,4.6615,4.7342,4.5887,4.5887,5827
43,2010-06-17,4.6249,4.727,4.6249,4.727,506
44,2010-06-18,4.6906,4.6906,4.5959,4.6833,2334
45,2010-06-21,4.6906,4.6979,4.5521,4.5521,2633
46,2010-06-22,4.6469,4.7926,4.6323,4.7342,17868
47,2010-06-23,4.7342,4.7342,4.6615,4.7342,17680
