,Date,Open,High,Low,Close,Volume
0,2008-06-19,5.0255,22.808,5.0255,6.185,7677
1,2008-06-20,6.185,6.8035,5.7217,5.9147,34094
2,2008-06-23,5.7986,5.7986,5.4124,5.791,5862
3,2008-06-24,5.9878,5.9878,5.5085,5.7986,3307
4,2008-06-25,5.7986,5.7986,5.6051,5.6051,4889
5,2008-06-26,5.4701,5.6829,5.4124,5.6829,1073
6,2008-06-27,5.4508,6.1157,5.4508,5.992,397
7,2008-06-30,6.1077,6.7149,5.9147,6.1813,448
8,2008-07-01,6.5678,6.5678,5.992,6.1813,134
9,2008-07-02,6.185,6.185,6.1466,6.1466,7
10,2008-07-03,6.185,6.185,6.185,6.185,2
11,2008-07-04,5.8759,5.8759,5.8759,5.8759,538
12,2008-07-07,6.0459,6.0459,5.8449,5.8449,70
13,2008-07-08,5.8449,5.8449,5.8215,5.8215,5
14,2008-07-09,5.8375,6.0886,5.8375,6.0886,49
15,2008-07-10,6.1077,6.1077,5.7986,5.8759,6435
16,2008-07-11,5.8837,5.8837,5.6248,5.7986,266
17,2008-07-14,5.8645,5.8645,5.6632,5.8645,2647
18,2008-07-15,5.8645,5.8759,5.8645,5.8759,1194
19,2008-07-16,5.9457,5.9457,5.6829,5.8759,117
20,2008-07-17,5.9414,5.9414,5.9263,5.9263,5
21,2008-07-18,5.9457,5.9457,5.6786,5.9457,134
22,2008-07-21,5.9068,5.9068,5.9068,5.9068,5
23,2008-07-22,5.9457,5.9457,5.9457,5.9457,5
24,2008-07-23,6.185,6.185,5.9878,5.9878,5
25,2008-07-24,5.9457,5.9457,5.9457,5.9457,5
26,2008-07-25,5.6632,5.6632,5.6632,5.6632,5
27,2008-07-28,5.6632,5.6632,5.6632,5.6632,2
28,2008-07-29,5.6632,5.6632,5.6632,5.6632,27
29,2008-07-30,5.6439,5.6439,5.6051,5.6051,239
30,2008-07-31,5.5666,5.5666,5.3347,5.3347,1901
31,2008-08-01,5.2959,5.7986,5.2959,5.7986,2944
32,2008-08-04,6.185,6.185,6.1658,6.1658,528
33,2008-08-05,5.8565,5.8565,5.8565,5.8565,2
34,2008-08-06,5.895,5.895,5.895,5.895,2
35,2008-08-07,5.895,5.895,5.895,5.895,2
36,2008-08-08,5.8759,5.8759,5.8759,5.8759,2
37,2008-08-11,5.8759,5.8759,5.8759,5.8759,2
38,2008-08-12,5.8914,5.8914,5.8914,5.8914,2
39,2008-08-13,5.8914,5.8914,5.8914,5.8914,2
40,2008-08-14,5.8914,5.8914,5.8914,5.8914,5
41,2008-08-18,5.8914,5.8914,5.8914,5.8914,2
42,2008-08-19,5.895,5.895,5.872,5.872,908
43,2008-08-20,5.7986,5.7986,5.7986,5.7986,2
44,2008-08-21,5.7986,5.7986,5.7986,5.7986,28
45,2008-08-22,5.7986,5.7986,5.7986,5.7986,2
46,2008-08-25,5.7986,5.7986,5.7986,5.7986,2
47,2008-08-26,5.7986,5.7986,5.7986,5.7986,2
48,2008-08-27,5.7986,5.7986,5.7986,5.7986,2
49,2008-08-28,5.7986,5.7986,5.7986,5.7986,2
50,2008-08-29,5.7986,5.7986,5.7986,5.7986,2
51,2008-09-01,5.7948,5.7948,5.7948,5.7948,2
52,2008-09-02,5.7793,5.7793,5.7752,5.7752,1531
53,2008-09-03,5.7217,5.7217,5.7217,5.7217,2
54,2008-09-04,5.6829,5.6829,5.6829,5.6829,2
55,2008-09-05,5.6752,5.6752,5.6752,5.6752,2
56,2008-09-08,5.6864,5.6864,5.6864,5.6864,2
57,2008-09-09,5.6864,5.6864,5.6829,5.6829,519
58,2008-09-10,5.6439,5.6439,5.6439,5.6439,2
59,2008-09-11,5.6402,5.6402,5.6402,5.6402,2
60,2008-09-12,5.6402,5.6402,5.6402,5.6402,534
61,2008-09-15,5.4893,5.4893,5.4893,5.4893,2
62,2008-09-17,5.4701,5.4701,5.4701,5.4701,27
63,2008-09-18,5.4124,5.4124,5.4124,5.4124,28
64,2008-09-19,5.6017,5.6017,5.6017,5.6017,52
65,2008-09-22,5.6402,5.6402,5.6402,5.6402,2
66,2008-09-24,5.6402,5.6402,5.6402,5.6402,2
67,2008-10-01,5.6402,5.6402,5.3732,5.3732,52
68,2008-10-07,5.478,5.478,5.478,5.478,2
69,2008-10-14,5.5202,5.5202,5.5202,5.5202,5
70,2008-10-16,5.2766,5.2766,5.2766,5.2766,2
71,2008-10-21,5.2766,5.2766,5.2766,5.2766,7
72,2008-10-22,5.0255,5.0255,5.0255,5.0255,7
73,2008-10-24,5.0063,5.0063,5.0063,5.0063,1420
74,2008-10-27,4.639,4.639,4.639,4.639,1248
75,2008-11-05,4.639,4.639,4.639,4.639,2
76,2008-11-06,4.639,4.639,4.639,4.639,1292
77,2008-11-10,4.6006,4.6006,4.6006,4.6006,1629
78,2008-11-13,4.7547,4.7589,4.7547,4.7589,27
79,2008-11-14,4.5809,4.5809,4.5809,4.5809,2
80,2008-11-17,4.5693,4.5693,4.5693,4.5693,2
81,2008-11-18,4.5964,4.7899,4.5964,4.7899,994
82,2008-11-19,4.7932,4.9482,4.7932,4.9482,2239
83,2008-11-20,4.7162,4.7162,4.7162,4.7162,595
84,2008-11-21,4.639,4.639,4.639,4.639,270
85,2008-11-26,4.639,4.639,4.639,4.639,12
86,2008-12-01,4.639,4.639,4.639,4.639,27
87,2008-12-02,4.5617,4.5617,4.5617,4.5617,5
88,2008-12-04,4.5617,4.5617,4.5617,4.5617,2
89,2008-12-10,4.639,4.639,4.639,4.639,2
